datetime,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,duration
2023-03-12 15:03:50,3.9,-2.3,64.0,0.0,,40.0,24.1,,1016.6,,2.0,1945.3590087890625
2023-04-25 18:08:18,12.2,6.7,69.0,0.0,,80.0,25.9,,1020.2,,3.0,1740.85595703125
2023-05-02 18:09:26,10.0,7.2,83.0,2.8,,130.0,16.6,,995.0,,7.0,1651.197021484375
2023-05-09 18:02:12,12.8,5.7,62.0,0.0,,110.0,27.7,,1016.4,,3.0,1593.2950439453125
2023-05-16 18:09:39,26.1,4.5,25.0,0.0,,240.0,22.3,,1000.1,,2.0,1479.81005859375
2023-05-23 18:08:18,14.4,7.7,64.0,0.0,,90.0,25.9,,1028.3,,2.0,1521.8289794921875
2023-05-30 18:10:48,16.1,8.3,60.0,0.0,,90.0,24.1,,1024.3,,2.0,1517.531005859375
2023-06-08 18:39:38,17.8,9.9,60.0,0.0,,120.0,16.6,,1004.8,,3.0,1471.4539794921875
2023-06-13 18:10:42,20.0,17.2,84.0,0.0,,60.0,16.6,,1004.1,,5.0,1446.875
2023-07-13 19:06:22,30.6,19.3,51.0,0.0,,190.0,27.7,,1010.9,,3.0,1503.7239990234375
2023-07-20 07:03:32,22.8,16.1,66.0,0.0,,340.0,9.4,,1015.6,,2.0,1365.0
2023-07-25 19:05:23,27.8,21.1,67.0,0.0,,120.0,18.4,,1015.9,,3.0,1489.1080322265625
2023-08-01 19:07:32,25.6,9.4,36.0,0.0,,320.0,20.5,,1018.6,,7.0,1446.8170166015625
2023-08-08 18:09:51,25.6,22.3,82.0,0.0,,130.0,13.0,,1000.1,,7.0,1411.2010498046875
2023-08-15 19:15:01,20.0,18.3,90.0,0.0,,50.0,20.5,,1009.8,,7.0,1437.0550537109375
2023-08-22 19:07:17,23.3,11.7,48.0,0.0,,80.0,16.6,,1017.2,,7.0,1467.4339599609375
2023-08-29 18:28:23,21.1,19.4,90.0,0.0,,60.0,13.0,,1015.3,,5.0,1445.303955078125
2023-09-05 18:16:03,27.8,21.8,70.0,0.0,,80.0,16.6,,1012.9,,3.0,1509.488037109375
2023-09-12 18:12:48,23.9,20.6,82.0,0.0,,130.0,9.4,,1014.9,,3.0,1466.342041015625
2023-09-19 18:26:49,22.8,12.1,51.0,0.0,,260.0,31.7,,1009.2,,2.0,1448.60302734375
2023-09-26 18:29:12,15.0,8.9,67.0,0.0,,40.0,27.7,,1030.2,,4.0,1404.5570068359375
2023-10-05 18:43:06,23.9,17.2,66.0,0.0,,110.0,11.2,,1022.7,,2.0,1417.5860595703125
2023-10-10 18:13:11,16.7,10.1,65.0,0.0,,220.0,13.0,,1008.4,,3.0,1434.510009765625
2023-10-17 18:12:48,13.9,8.9,72.0,0.0,,70.0,14.8,,1012.6,,3.0,1416.678955078125
2023-11-07 18:14:56,18.3,11.6,65.0,0.0,,230.0,25.9,,1003.0,,3.0,1419.4210205078125
2023-11-28 18:16:42,3.3,-11.8,32.0,0.0,,280.0,29.5,,1005.0,,2.0,1511.9310302734375
2023-12-05 18:37:29,2.8,-3.3,64.0,0.0,,10.0,9.4,,1016.0,,3.0,1448.5069580078125
2024-01-12 18:02:20,8.3,-1.0,52.0,0.0,,0.0,0.0,,1021.7,,2.0,1460.0460205078125
2024-01-25 18:29:34,10.0,7.8,86.0,0.0,,10.0,13.0,,1019.7,,4.0,1452.60595703125
2024-02-06 18:19:01,2.2,-5.0,59.0,0.0,,40.0,20.5,,1022.0,,3.0,1409.2430419921875
2024-02-11 12:01:39,6.7,-0.1,62.0,0.0,,270.0,24.1,,1010.0,,4.0,1405.302001953125
2024-02-15 18:08:18,3.3,-15.8,23.0,0.0,,280.0,16.6,,1017.0,,2.0,1401.97705078125
2024-03-12 18:09:17,11.1,3.4,59.0,0.0,,290.0,27.7,,1004.9,,2.0,1391.126953125
2024-03-19 18:23:23,6.7,-0.5,60.0,0.0,,300.0,27.7,,1002.8,,2.0,1383.5670166015625
2024-04-25 18:05:41,8.9,-5.7,35.0,0.0,,120.0,18.4,,1026.6,,2.0,1394.300048828125
2024-05-02 18:06:17,18.3,11.6,65.0,0.0,,180.0,16.6,,1011.8,,3.0,1374.583984375
2024-05-09 18:06:25,13.3,9.4,77.0,0.0,,120.0,18.4,,1007.3,,3.0,1380.35498046875
2024-05-16 18:07:04,13.3,12.2,93.0,1.0,,40.0,22.3,,1010.8,,8.0,1385.9659423828125
2024-06-22 08:03:28,18.3,17.8,97.0,0.0,,0.0,0.0,,1018.7,,4.0,1496.7359619140625
2024-07-18 18:14:23,29.4,18.8,53.0,0.0,,260.0,11.2,,1010.4,,3.0,1516.8590087890625
2024-07-25 18:18:52,27.2,20.5,67.0,0.0,,230.0,18.4,,1014.2,,4.0,1464.4849853515625
2024-08-01 18:20:59,34.4,19.2,41.0,0.0,,260.0,18.4,,1011.5,,2.0,1487.5279541015625
2024-08-08 18:15:36,21.7,16.6,73.0,0.0,,90.0,18.4,,1022.3,,4.0,1419.9219970703125
2024-08-15 18:16:57,25.0,18.9,69.0,0.0,,70.0,14.8,,1015.7,,4.0,1430.8389892578125
2024-08-22 18:23:52,22.8,11.2,48.0,0.0,,280.0,16.6,,1018.7,,3.0,1405.3360595703125
2024-09-05 18:15:49,22.8,10.6,46.0,0.0,,90.0,27.7,,1029.1,,2.0,1416.0439453125
2024-09-12 18:09:13,25.0,12.9,47.0,0.0,,120.0,16.6,,1024.0,,2.0,1436.8580322265625
2024-09-19 18:21:48,22.2,17.8,76.0,0.0,,20.0,24.1,,1012.6,,4.0,1429.5880126953125
2024-09-26 17:56:14,18.9,16.7,87.0,0.0,,150.0,11.2,,1017.8,,8.0,1480.616943359375
2024-10-03 18:24:16,18.9,12.9,68.0,0.0,,100.0,22.3,,1019.4,,2.0,1400.18505859375
2024-10-10 18:13:59,15.0,2.8,44.0,0.0,,310.0,24.1,,1013.7,,2.0,1408.364013671875
2024-10-17 17:47:22,11.7,4.0,59.0,0.0,,110.0,13.0,,1024.8,,2.0,1402.1920166015625
2024-10-24 17:51:42,20.0,9.3,50.0,0.0,,330.0,22.3,,1010.8,,3.0,1384.02294921875
2024-11-15 06:19:25,2.2,-11.7,35.0,0.0,,340.0,14.8,,1016.2,,3.0,1434.68798828125
2024-11-24 08:04:38,6.7,0.6,65.0,0.0,,270.0,16.6,,999.9,,4.0,1436.35302734375
2025-03-13 18:14:32,6.1,-1.8,57.0,0.0,,80.0,25.9,,1022.6,,4.0,1487.14501953125
2025-03-20 18:05:53,6.7,6.7,100.0,0.0,,70.0,14.8,,1009.9,,3.0,1442.0439453125
2025-04-03 17:34:44,16.1,13.4,84.0,0.0,,200.0,22.3,,1013.2,,7.0,1431.425048828125
2025-04-10 18:08:24,6.7,-2.7,51.0,0.0,,80.0,22.3,,1028.1,,3.0,1428.23095703125
2025-04-17 17:40:33,14.4,-4.4,27.0,0.0,,280.0,25.9,26.0,1014.3,,2.0,1412.8470458984375
2025-04-24 18:08:17,16.1,3.2,42.0,0.0,,110.0,29.5,,1024.7,,2.0,1411.1739501953125
2025-05-01 18:09:14,12.2,3.2,54.0,0.0,,110.0,25.9,,1021.1,,3.0,1419.633056640625
2025-05-09 07:08:33,11.7,10.6,93.0,0.0,,40.0,16.6,,1017.1,,5.0,1432.39404296875
2025-05-16 06:51:57,17.8,16.7,93.0,0.0,,220.0,9.4,,1008.8,,4.0,1473.3260498046875
2025-06-06 06:55:22,25.0,18.2,66.0,0.0,,290.0,13.0,,1012.5,,3.0,1464.427978515625
2025-06-13 06:52:14,18.9,8.8,52.0,0.0,,320.0,14.8,18.0,1017.7,,3.0,1456.303955078125
